Year,"Destination","Location","Female 0-4","Female 5-11","Female 5-17","Female 12-17","Female 18-59","Female 60+","F: Unknown","F_Total","Male 0-4","Male 5-11","Male 5-17","Male 12-17","Male 18-59","Male 60+","M: Unknown","M_Total","Overall total"
2014,Iraq,"Baghdad : Muhafazah - Province",311,471,,996,2664,472,,4914,354,526,,2174,3058,566,,6678,11746
2014,Iraq,"Basrah : Muhafazah - Province",6,45,,50,150,19,,270,18,55,,56,142,10,,281,551
2014,Iraq,"Dahuk : Muhafazah - Province",8616,9096,,6113,23104,1071,,48000,8849,9654,,7273,30744,904,,57424,105424
2014,Iraq,"Diyala : Muhafazah - Province",14,34,,36,105,*,,193,19,33,,28,97,7,,184,377
2014,Iraq,"Erbil : Muhafazah - Province",8761,9457,,6608,23423,1233,,49482,8848,9841,,9403,39584,1131,,68807,118289
2014,Iraq,"Iraq : Dispersed in the country / territory",*,*,,*,*,*,,*,*,*,,*,*,*,,*,3746817
2014,Iraq,"Kerbala : Muhafazah - Province",9,18,,11,89,8,,135,15,16,,6,67,11,,115,250
2014,Iraq,"Kirkuk : Muhafazah - Province",47,72,,26,140,12,,297,65,81,,45,228,14,,433,730
2014,Iraq,"Missan : Muhafazah - Province",*,*,,*,*,*,,*,*,*,,*,*,*,,*,*
2014,Iraq,"Muthanna : Muhafazah - Province",*,*,,*,*,*,,*,*,*,,*,*,*,,*,5
2014,Iraq,"Najaf : Muhafazah - Province",10,12,,*,67,6,,99,12,14,,16,113,5,,160,259
2014,Iraq,"Ninewa : Muhafazah - Province",136,226,,158,754,84,,1358,126,252,,172,735,72,,1357,2715
2014,Iraq,"Qadisiyyah : Muhafazah - Province",*,5,,7,7,*,,20,*,*,,*,9,*,,18,38
2014,Iraq,"Salah al-Din : Muhafazah - Province",*,6,,5,12,*,,31,*,8,,9,30,*,,52,83
2014,Iraq,"Sulaymaniyah : Muhafazah - Province",2213,2469,,1997,6970,426,,14075,2401,2612,,2825,11909,417,,20164,34239
2014,Iraq,"Wasit : Muhafazah - Province",*,*,,*,12,*,,16,*,*,,*,8,*,,18,34
2014,Iceland,"Iceland : Dispersed in the country / territory",,,,,,,50,50,,,,,,,160,160,428
2014,Israel,"Israel : Dispersed in the country / territory",300,400,,300,4901,100,,6001,300,400,,800,32025,200,,33725,45284
2014,Italy,"Italy : Dispersed in the country / territory",,,,,,,4059,4059,,,,,,,42503,42503,140277
2014,Jamaica,"Jamaica : Dispersed in the country / territory",,*,,,8,,,9,*,*,,*,8,,,13,22
2014,Jordan,"Ajlun : Governorate",816,1079,,705,2261,196,,5057,1001,1200,,750,1590,142,,4683,9740
2014,Jordan,"Amman : Governorate",15648,19116,,11981,54227,5719,,106691,16359,20365,,13230,57008,4630,,111592,218283
2014,Jordan,"Aqabah : Governorate",233,283,,170,774,68,,1528,273,311,,205,810,56,,1655,3183
2014,Jordan,"Balqa : Governorate",1761,2119,,1367,5116,388,,10751,1806,2246,,1456,4615,304,,10427,21178
2014,Jordan,"Irbid : Governorate",11927,15620,,9911,34859,3317,,75634,12612,16409,,10282,27603,2353,,69259,144893
2014,Jordan,"Jarash : Governorate",929,1185,,796,2653,241,,5804,964,1229,,823,2127,158,,5301,11105
2014,Jordan,"Jordan : Dispersed in the country / territory",157,201,,164,648,60,,1230,178,239,,173,669,25,,1284,2514
2014,Jordan,"Karak : Governorate",869,1006,,558,2200,185,,4818,857,1086,,629,2128,140,,4840,9658
2014,Jordan,"Maan : Governorate",616,725,,508,1700,110,,3659,613,752,,526,1651,79,,3621,7280
2014,Jordan,"Madaba : Governorate",984,1155,,740,2682,215,,5776,991,1229,,800,2492,154,,5666,11442
2014,Jordan,"Mafraq : Governorate",6225,8366,,5525,17917,1681,,39714,6713,8739,,5722,14665,1056,,36895,76609
2014,Jordan,"Mafraq : Zataari Camp",7888,9233,,5777,18008,1324,,42230,8424,9744,,6189,17241,945,,42543,84773
2014,Jordan,"Tafilah : Governorate",236,267,,143,542,28,,1216,244,262,,135,524,29,,1194,2410
2014,Jordan,"Zarqa : Emirates Jordanian Camp (EJC)",450,559,,284,853,60,,2206,415,520,,288,730,37,,1990,4196
2014,Jordan,"Zarqa : Governorate",4324,5584,,3713,13138,1089,,27848,4607,5989,,3835,11272,800,,26503,54351
2014,Jordan,"Zarqa: Azraq Camp",1141,1181,,600,2481,113,,5516,1145,1225,,792,2553,84,,5799,11315
2014,Japan,"Japan : Dispersed in the country / territory",,,,,,,2827,2827,,,,,,,9664,9664,12491
2014,Kazakhstan,"Almaty : City",20,30,,32,134,9,,225,23,36,,35,161,10,,265,490
2014,Kazakhstan,"Almaty : Oblast - Province",*,,,*,13,*,,17,*,*,,*,17,*,,21,38
2014,Kazakhstan,"Astana : City",,,,,,,,*,,,,,*,,,*,*
2014,Kazakhstan,"Kazakhstan : Dispersed in the country / territory",,,,,,,,*,,,,,,,,*,7038
2014,Kazakhstan,Kostanai,,,,*,*,,,*,,,,,*,,,*,*
2014,Kazakhstan,Petropavlovsk,,,,,,,,*,,,,,*,,,*,*
2014,Kazakhstan,"South Kazakhstan : Oblast - Province",6,15,,10,41,*,,74,*,13,,8,84,*,,113,187
2014,Kazakhstan,"West Kazakhstan",,,,*,,,,*,,,,,,,,*,*
2014,Kazakhstan,"Zhambyl : Oblast - Province",,,,,*,,,*,,,,,*,*,,*,*
2014,Kenya,"Dagahaley : Point",6979,12376,,6814,17757,1429,,45355,7143,13059,,7734,14466,1390,,43792,89147
2014,Kenya,"Hagadera : Point",8319,13032,,7980,23128,1817,,54276,8896,13631,,9122,20012,1742,,53403,107679
2014,Kenya,"Ifo 2 : Point",5000,7838,,3426,8635,729,,25628,5262,8917,,4534,7522,789,,27024,52652
2014,Kenya,"Ifo : Point",6419,10757,,6294,18034,1472,,42976,6875,11221,,7282,15635,1455,,42468,85444
2014,Kenya,"Kakuma : Point",12844,19143,,13218,36273,1819,,83297,13280,21469,,18893,40245,895,,94782,178079
2014,Kenya,"Kambioos : Point",1994,3143,,1446,3381,289,,10253,2104,3701,,1880,2863,291,,10839,21092
2014,Kenya,"Kenya: Dispersed in the country / territory",,,,,,,,*,,,,,,,,*,20000
2014,Kenya,"Nairobi : Province",1593,3561,,3163,16756,941,,26014,1667,3744,,3156,16037,652,,25256,51270
2014,Kyrgyzstan,"Bishkek : Shaar - City",35,41,,55,136,6,,273,30,40,,59,243,*,,372,645
2014,Kyrgyzstan,"Kyrgyzstan : Dispersed in the country / territory",,,,,,,,*,,,,,,,,*,12133
2014,Kyrgyzstan,"Osh City : Shaar - City",*,6,,7,8,*,,22,6,*,,*,10,*,,22,44
2014,Cambodia,"Phnom Penh : Autonomous municipality",*,*,,*,15,*,,23,*,*,,*,69,*,,81,104
2014,"Saint Kitts and Nevis","Saint Kitts and Nevis : Dispersed in the country / territory",,,,,,,,*,,,,,*,,,*,*
2014,"Rep. of Korea",Ansan,,,,,,,,*,*,,,,*,,,5,5
2014,"Rep. of Korea",Changwon,*,,,*,,,,*,*,,,*,12,,,15,17
2014,"Rep. of Korea","Cheongju : Point",,*,,,*,,,*,,,,,6,,,6,10
2014,"Rep. of Korea","Daegu : Gwangyeoksi - Metropolitan city",*,*,,,12,*,,15,,,,*,125,,,126,141
2014,"Rep. of Korea","Daejeon : Gwangyeoksi - Metropolitan city",*,*,,,*,*,,8,,,,*,13,*,,17,25
2014,"Rep. of Korea",Goyang,,,,,,,,*,,,,*,*,,,*,*
2014,"Rep. of Korea",Gwangju,*,*,,,8,,,10,*,*,,,109,,,114,124
2014,"Rep. of Korea","Incheon Airport",*,*,,,7,,,9,*,*,,,14,,,18,27
2014,"Rep. of Korea","Inchon - Yeongjongdo",,*,,,*,,,*,*,,,,*,,,*,7
2014,"Rep. of Korea","Inchon Airport",,,,,*,,,*,,,,,5,,,5,6
2014,"Rep. of Korea","Inchon: Gwangyeoksi - Metropolican",,*,,,*,,,*,,,,,*,,,*,*
2014,"Rep. of Korea","Inchon: Gwangyeoksi - Metropolitan",*,,,,*,,,*,*,*,,*,32,,,35,39
2014,"Rep. of Korea","Jeju - Do (Province)",,,,,119,,,119,,,,,104,*,,105,224
2014,"Rep. of Korea",Jeonju,,,,,*,,,*,,,,,7,,,7,8
2014,"Rep. of Korea",Mokpo,,,,,*,,,*,*,,,,10,,,12,13
2014,"Rep. of Korea","Pohang : Point",,,,,,,,*,,,,,*,,,*,*
2014,"Rep. of Korea",Pusan,*,*,,*,6,,,10,*,*,,*,41,,,46,56
2014,"Rep. of Korea","Republic of Korea : Dispersed in the country / territory",,,,,,,120,120,,,,,,,84,84,204
2014,"Rep. of Korea",Sacheon,,,,,,,,*,,,,,*,,,*,*
2014,"Rep. of Korea","Seoul : Teukbyeolsi - Capital metropolitan city",59,50,,14,406,14,,543,42,46,,33,2751,15,,2887,3430
2014,"Rep. of Korea","Suwon : Point",,,,,*,,,*,,,,,39,*,,40,41
2014,"Rep. of Korea",Ulsan,*,,,,*,,,*,*,,,,7,,,8,10
2014,"Rep. of Korea",Unidentified,,,,,,,,*,,,,,,,,*,368
2014,"Rep. of Korea","Whasung : Point",,,,,*,*,,*,,,,,10,*,,11,15
2014,"Rep. of Korea",Yangju,,,,,,,,*,,,,,*,,,*,*
2014,"Rep. of Korea","Yangju : Point",*,,,,8,,,9,*,,,,66,,,69,78
2014,"Rep. of Korea",Yeosu,,,,,,,,*,,,,,*,,,*,*
2014,Kuwait,"Kuwait : Dispersed in the country / territory",,,,,,,783,783,,,,,,,869,869,94652
2014,Lebanon,"Beirut : Mohafazah - Governorate",2590,3034,,1589,7774,491,,15478,2730,3278,,1791,8568,439,,16806,32284
2014,Lebanon,"Beqaa : Mohafazah - Governorate",37684,47128,,29894,103741,6578,,225025,38306,48999,,27789,63117,5013,,183224,408249
2014,Lebanon,"Mount Lebanon : Mohafazah - Governorate",26374,30842,,15649,74773,4543,,152181,27654,32754,,17003,68636,3574,,149621,301802
2014,Lebanon,"North : Mohafazah - Governorate",25626,30445,,18358,71345,5035,,150809,25917,31576,,18689,55835,3678,,135695,286504
2014,Lebanon,"South : Mohafazah - Governorate",13307,15163,,8038,34218,2042,,72768,13954,15810,,8472,25946,1390,,65572,138340
2014,Liberia,"Bahn : Point",458,734,,335,1201,71,,2799,485,750,,373,797,53,,2458,5257
2014,Liberia,"Grand Gedeh : County",363,548,,225,1241,207,,2584,326,526,,278,928,110,,2168,4752
2014,Liberia,"Little Wlebbo : Point",943,1182,,555,1889,111,,4680,840,1205,,522,1175,59,,3801,8481
2014,Liberia,"Maryland : County",99,211,,96,344,38,,788,83,200,,117,316,17,,733,1521
2014,Liberia,"Montserrado : County",32,61,,73,274,*,,443,35,58,,64,470,16,,643,2565
2014,Liberia,"Nimba : County",32,55,,35,140,17,,279,28,49,,24,72,7,,180,459
2014,Liberia,"PTP : Point",1336,1777,,818,3373,312,,7616,1340,1848,,1047,3230,219,,7684,15300
2014,Liberia,"River Ghee : County",133,283,,111,428,38,,993,151,310,,113,206,13,,793,1786
2014,Libya,"Ghadames : Point",,,,,,,,*,,,,,,,,*,1906
2014,Libya,"Kufra : Popularate",,,,,,,,*,,,,,,,,*,862
2014,Libya,"Libya : Dispersed in the country / territory",,,,,,,,*,,,,,,,,*,308918
2014,Libya,"Misrata : Popularate",,,,,,,,*,,,,,,,,*,6122
2014,Libya,"Nalut : Popularate",,,,,,,,*,,,,,,,,*,1403
2014,Libya,"Sabha : Popularate",,,,,,,,*,,,,,,,,*,240
2014,Libya,"Sirte : Popularate",,,,,,,,*,,,,,,,,*,5716
2014,Libya,"Tewargha : Point",,,,,,,,*,,,,,,,,*,30000
2014,Libya,"Tripoli : Popularate",1407,2552,,1535,9007,485,,14986,1442,2910,,2012,14766,752,,21882,36868
2014,Libya,"Western Mountains : Popularate",,,,,,,,*,,,,,,,,*,7900
2014,"Saint Lucia","Saint Lucia : Dispersed in the country / territory",,,,,,,,*,,,,,*,,,*,*
2014,Liechtenstein,"Liechtenstein : Dispersed in the country / territory",,,,,,,,*,,,,,,,,*,173
2014,"Sri Lanka","Ampara : District",,,,,,,,*,,,,,,,,*,2313
2014,"Sri Lanka","Batticaloa : District",,,,,,,,*,,,,,,,,*,1535
2014,"Sri Lanka","Colombo : District",6,20,,16,51,*,,96,9,19,,11,144,*,,184,280
2014,"Sri Lanka","Gampaha : District",75,88,,45,284,19,,511,70,71,,57,368,13,,579,1090
2014,"Sri Lanka","Jaffna : District",*,*,,8,37,8,,58,,,,5,30,8,,43,19954
2014,"Sri Lanka",Kaluthara,*,*,,*,11,*,,21,8,*,,*,44,,,59,80
2014,"Sri Lanka","Kandy : District",,,,*,*,,,*,*,*,,*,5,,,8,11
2014,"Sri Lanka","Kilinochchi : District",*,*,,5,23,*,,36,*,*,,*,14,*,,22,356
2014,"Sri Lanka","Mannar : District",*,9,,*,32,*,,50,9,11,,*,42,*,,69,758
2014,"Sri Lanka","Mullaitivu : District",,*,,*,7,,,10,*,*,,*,6,*,,15,1021
2014,"Sri Lanka","Sri Lanka : Dispersed in the country / territory",,,,,*,,,*,,,,,*,,,*,6
2014,"Sri Lanka","Trincomalee : District",5,8,,5,27,*,,48,*,8,,*,29,*,,45,3335
2014,"Sri Lanka","Vavuniya : District",*,5,,5,35,8,,56,*,*,,6,30,*,,45,2430
2014,Lesotho,"Lesotho : Dispersed in the country / territory",*,*,,,13,,,17,*,*,,*,21,,,28,45
2014,Lithuania,"FRC Pabrade : Point",5,8,,*,33,*,,47,*,10,,7,49,*,,69,116
2014,Lithuania,"Jonavos Raj. : Savivaldybe - Municipality",*,*,,*,*,*,,7,*,*,,*,6,*,,12,19
2014,Lithuania,"Kaunas : Savivaldybe - Municipality",*,*,,*,*,*,,11,*,*,,*,6,*,,6,17
2014,Lithuania,"Lithuania : Dispersed in the country / territory",*,*,,7,960,517,,1486,*,*,,6,1494,657,,2159,3650
2014,Lithuania,"RRC Rukla : Point",*,*,,5,5,*,,13,*,*,,6,17,*,,26,39
2014,Lithuania,"Siauliai: Savivaldybe -Municipality",*,*,,*,*,*,,*,*,*,,*,*,*,,*,*
2014,Lithuania,"Vilnius : Savivaldybe - Municipality",*,*,,*,10,*,,18,*,*,,*,22,*,,30,48
2014,Luxembourg,"Luxembourg : Dispersed in the country / territory",*,*,,*,*,*,820,820,*,*,,*,*,*,1558,1558,2469
2014,Latvia,"Latvia : Dispersed in the country / territory",13,7,,10,74,12,139285,139401,8,16,,15,265,*,123517,123823,263224
2014,"Macao SAR, China","Macao SAR, China : Dispersed in the country / territory",,,,,*,,,*,,,,*,*,,,5,6
2014,Morocco,"Morocco : Dispersed in the country / territory",137,124,,138,651,17,,1067,140,122,,190,1509,20,,1981,3048
2014,Monaco,"Monaco : Dispersed in the country / territory",,,,,,,,*,,,,,,,,*,33
2014,"Rep. of Moldova","Republic of Moldova : Dispersed in the country / territory",9,18,,7,1120,205,,1359,9,18,,15,976,143,,1161,2520
2014,Madagascar,"Madagascar : Dispersed in the country / territory",,,,*,6,,,8,,*,,,11,,,12,20
2014,Mexico,"Mexico : Dispersed in the country / territory",20,43,,75,380,*,,522,14,39,,66,652,*,,773,1295
2014,"The former Yugoslav Republic of Macedonia","Berovo : OpÅ¡tina - Municipality",,,,,*,,,*,,,,,,,,*,*
2014,"The former Yugoslav Republic of Macedonia","Bitola : OpÅ¡tina - Municipality",*,*,,*,*,*,,9,*,*,,*,*,*,,11,20
2014,"The former Yugoslav Republic of Macedonia","Gostivar : OpÅ¡tina - Municipality",,6,,*,21,*,,31,*,5,,*,9,*,,19,50
2014,"The former Yugoslav Republic of Macedonia","Kavadarci : OpÅ¡tina - Municipality",,,,,*,,,*,,,,,,,,*,*
2014,"The former Yugoslav Republic of Macedonia","Kicevo : OpÅ¡tina - Municipality",,,,,9,*,,11,,*,,,5,,,6,17
2014,"The former Yugoslav Republic of Macedonia","Kocani : OpÅ¡tina - Municipality",,,,,,,,*,,,,,*,,,*,*
2014,"The former Yugoslav Republic of Macedonia",Kumanovo,,,,*,13,*,,17,,*,,,10,*,,13,30
2014,"The former Yugoslav Republic of Macedonia","Kumanovo : OpÅ¡tina - Municipality",5,5,,,29,*,,42,*,*,,*,*,,,12,54
2014,"The former Yugoslav Republic of Macedonia",Negotino,,,,,*,,,*,,,,,,*,,*,*
2014,"The former Yugoslav Republic of Macedonia",Ohrid,,,,,,,,*,,,,*,,,,*,*
2014,"The former Yugoslav Republic of Macedonia","Prilep : OpÅ¡tina - Municipality",,*,,*,*,,,*,,,,*,7,,,8,11
2014,"The former Yugoslav Republic of Macedonia","Probistip : OpÅ¡tina - Municipality",,,,,,*,,*,,,,,,,,*,*
2014,"The former Yugoslav Republic of Macedonia","Skopje : City",36,113,,83,370,51,,653,47,115,,98,347,30,,637,1290
2014,"The former Yugoslav Republic of Macedonia","Stip : OpÅ¡tina - Municipality",*,*,,*,6,*,,15,,8,,*,*,*,,14,29
2014,"The former Yugoslav Republic of Macedonia","Tetovo : OpÅ¡tina - Municipality",*,8,,5,35,14,,63,,9,,7,17,*,,35,98
2014,"The former Yugoslav Republic of Macedonia","Valandovo : OpÅ¡tina - Municipality",*,*,,*,*,*,,*,,,,*,*,*,,5,9
2014,"The former Yugoslav Republic of Macedonia",Veles,,*,,*,*,,,5,,*,,,*,,,*,7
2014,"The former Yugoslav Republic of Macedonia","Vizbegovo : Point",11,55,,26,126,*,,220,7,68,,75,1174,7,,1331,1551
2014,Mali,"Bamako : District",191,272,,230,812,27,,1532,194,272,,216,797,22,,1501,65518
2014,Mali,"Faragouana : Point",*,*,,*,6,*,,13,*,*,,*,12,*,,20,33
2014,Mali,"Gao : Region",672,1203,,598,2068,210,,4751,749,1261,,591,1569,192,,4362,56675
2014,Mali,"Kayes : Region",1494,1640,,1029,1856,149,,6168,1663,1737,,1051,1995,192,,6638,14814
2014,Mali,Kidal,*,5,,*,14,*,,24,*,8,,6,17,,,34,34150
2014,Mali,Koulikoro,*,6,,6,17,*,,31,5,*,,*,11,*,,22,23318
2014,Mali,"Mopti : Region",105,218,,78,389,41,,831,111,196,,85,312,52,,756,11449
2014,Mali,Segou,10,25,,16,30,8,,89,7,18,,13,37,7,,82,24613
2014,Mali,"Sikasso : Region",45,51,,35,116,*,,250,41,54,,25,115,*,,237,6511
2014,Mali,Tombouctou,583,1216,,566,2185,243,,4793,595,1220,,648,1965,231,,4659,54534
2014,Malta,"Block C Registrations : Point",,,,,,,*,*,,,,,,,*,*,*
2014,Malta,"Dar Il-Liedna : Point",,,,,,,*,*,,,,,,,7,7,7
2014,Malta,"Dar is Sliem : Point",,,,,,,*,*,,,,,,,12,12,12
2014,Malta,"Hal Far OIWAS : Point",,,,,,,7,7,,,,,,,151,151,158
2014,Malta,"Hal Far Open Centre : Point",,,,,,,5,5,,,,,,,210,210,215
2014,Malta,"Hal Far Tent Village : Point",,,,,,,5,5,,,,,,,45,45,50
2014,Malta,"Malta : Dispersed in the country / territory",,,,,,,41,41,,,,,,,137,137,178
2014,Malta,"Marsa Open Centre",,,,,,,30,30,,,,,,,37,37,67
2014,Malta,"MEC Balzan : Point",,,,,,,6,6,,,,,,,6,6,12
2014,Malta,"MEC Houses : Point",,,,,,,10,10,,,,,,,27,27,37
2014,Myanmar,"Kachin and northern Shan states : Regional grouping",,,,,,,,*,,,,,,,,*,98000
2014,Myanmar,"Rakhine : State",,,,,,,,*,,,,,,,,*,988500
2014,Montenegro,"Andrijevica : OpÅ¡tina - Municipality",*,*,,9,54,31,,96,*,*,,10,48,20,,81,177
2014,Montenegro,"Bar : OpÅ¡tina - Municipality",9,23,,25,122,100,,279,12,21,,24,192,64,,313,592
2014,Montenegro,"Berane : OpÅ¡tina - Municipality",33,54,,59,227,94,,467,37,70,,52,227,56,,442,909
2014,Montenegro,"Bijelo Polje : OpÅ¡tina - Municipality",*,*,,*,37,10,,53,*,*,,6,35,10,,53,106
2014,Montenegro,"Budva : OpÅ¡tina - Municipality",*,9,,10,58,41,,118,*,5,,8,60,26,,100,218
2014,Montenegro,"Cetinje : OpÅ¡tina - Municipality",*,*,,*,*,*,,*,*,*,,*,*,*,,*,*
2014,Montenegro,"Danilovgrad : OpÅ¡tina - Municipality",*,*,,7,23,25,,58,*,*,,9,34,13,,60,118
2014,Montenegro,"Herceg Novi : OpÅ¡tina - Municipality",*,6,,9,94,57,,168,*,5,,17,88,32,,145,313
2014,Montenegro,"Kolasin : OpÅ¡tina - Municipality",*,*,,*,14,10,,26,*,*,,*,18,*,,26,52
2014,Montenegro,"Kotor : OpÅ¡tina - Municipality",*,5,,*,14,16,,36,*,*,,*,21,9,,36,72
2014,Montenegro,"Mojkovac : OpÅ¡tina - Municipality",*,*,,*,12,*,,16,*,*,,*,5,*,,11,27
2014,Montenegro,"Montenegro : Dispersed in the country / territory",*,5,,5,78,41,,130,*,6,,*,68,28,,105,14552
2014,Montenegro,"Niksic : OpÅ¡tina - Municipality",*,8,,10,64,21,,107,*,8,,12,62,9,,93,200
2014,Montenegro,"Plav : OpÅ¡tina - Municipality",*,7,,5,103,47,,162,*,*,,15,90,47,,156,318
2014,Montenegro,"Pljevlja : OpÅ¡tina - Municipality",*,*,,*,14,5,,26,*,5,,5,10,*,,28,54
2014,Montenegro,"Pluzine : OpÅ¡tina - Municipality",*,*,,*,*,*,,*,*,*,,*,*,*,,*,*
2014,Montenegro,"Podgorica : OpÅ¡tina - Municipality",106,217,,224,579,195,,1321,133,240,,266,614,155,,1408,2729
2014,Montenegro,"Rozaj : OpÅ¡tina - Municipality",*,5,,8,46,5,,66,*,8,,16,29,9,,63,129
2014,Montenegro,"Savnik : OpÅ¡tina - Municipality",*,*,,*,*,*,,*,*,*,,*,*,*,,*,*
2014,Montenegro,"Tivat : OpÅ¡tina - Municipality",*,*,,10,33,25,,72,*,*,,15,43,20,,80,152
2014,Montenegro,"Ulcinj : OpÅ¡tina - Municipality",*,*,,9,30,18,,59,*,6,,14,32,10,,63,122
2014,Mongolia,"Mongolia : Dispersed in the country / territory",,,,,,,,*,,,,,,,,*,16
2014,Mongolia,"Ulaanbaatar : Capital city",,,,,*,,,*,*,,,,9,,,11,15
2014,Mozambique,"Cabo Delgado : Provincia",*,5,,*,11,,,18,,*,,*,30,*,,36,54
2014,Mozambique,"Gaza : Provincia",,*,,*,8,,,14,,5,,*,17,,,25,39
2014,Mozambique,"Inhambane : Provincia",,*,,*,10,,,14,,*,,*,23,,,29,43
2014,Mozambique,"Manica : Provincia",*,*,,*,21,,,28,*,5,,,92,*,,100,128
2014,Mozambique,"Maputo : Cidade capital - Capital City",33,175,,132,549,19,,908,44,175,,148,1060,33,,1460,2368
2014,Mozambique,"Maputo Provincia : Provincia",*,38,,34,93,*,,172,*,34,,31,142,*,,214,386
2014,Mozambique,"Maratane : Point",773,957,,667,2059,85,,4541,736,1070,,662,3425,39,,5932,10473
2014,Mozambique,"Nampula : Provincia",136,210,,113,589,14,,1062,146,224,,157,1890,21,,2438,3500
2014,Mozambique,"Niassa : Provincia",*,15,,17,35,*,,71,*,22,,11,61,*,,99,170
2014,Mozambique,"Sofala : Provincia",,*,,*,12,*,,19,,*,,*,25,*,,30,49
2014,Mozambique,"Tete : Provincia",22,44,,36,104,*,,207,22,43,,37,183,*,,289,496
2014,Mozambique,"Zambezia : Provincia",5,8,,*,33,,,48,*,6,,9,88,,,107,155
2014,Mauritania,"Mbera : Point",4581,6851,,2691,11641,1440,,27204,4586,6640,,2627,6790,1063,,21706,48910
2014,Mauritania,"Nouakchott and Nouadhibou : Regional grouping",68,99,,67,249,9,13000,13492,80,77,,46,432,10,13000,13645,27138
2014,Malawi,"Dzaleka : Point",1633,2222,,1558,4032,131,,9576,1635,2374,,1685,4992,111,,10797,20373
2014,Malaysia,"Kuala Lumpur : Wilayah Persekutuan - Federal territory",7377,4228,,2959,30830,728,,46122,7767,4835,,4720,86325,852,,104499,190621
2014,Malaysia,Sabah,,,,,,,,*,,,,,,,,*,80000
2014,Namibia,"Namibia : Dispersed in the country / territory",16,22,,10,63,*,,112,18,27,,20,149,*,,215,1987
2014,Namibia,"Osire : Point",136,192,,146,487,14,,975,150,207,,187,729,15,,1288,2263
2014,Niger,"Ayourou : Point",7,31,,13,64,*,,119,11,27,,13,24,5,,80,199
2014,Niger,"Camp Abala : Point",825,2258,,948,2839,224,,7094,864,2129,,935,1733,183,,5844,12938
2014,Niger,Diffa,,,,,,,,*,,,,,,,,*,100000
2014,Niger,Goure,*,*,,11,41,5,,64,*,9,,5,43,8,,66,130
2014,Niger,Intikane,884,2281,,760,2536,138,,6599,913,2324,,706,2017,179,,6139,12738
2014,Niger,"Mangaize : Point",506,978,,378,1393,105,,3360,519,1020,,445,900,110,,2994,6354
2014,Niger,"Niamey : Capital district",297,804,,497,1403,173,,3174,274,725,,398,595,92,,2084,5258
2014,Niger,"Tabareybarey : Point",553,1333,,584,2024,174,,4668,574,1283,,568,931,123,,3479,8147
2014,Niger,Tazalit,188,355,,111,408,36,,1098,229,346,,128,338,33,,1074,2172
2014,Nigeria,"Benue : State",5,20,,12,38,*,,79,*,10,,10,35,*,,59,138
2014,Nigeria,"Cross Rivers ",,*,,*,*,*,,11,,*,,,,,,*,12
2014,Nigeria,"Lagos : State",34,44,,39,204,*,,323,41,46,,30,518,6,,641,964
2014,Nigeria,"Nigeria : Dispersed in the country / territory",49,90,,43,195,*,630000,630379,59,72,,47,414,10,558018,558620,1188999
2014,Nicaragua,"Managua : Departamento",,,,*,*,,,*,,*,,,12,,,13,16
2014,Nicaragua,"Nicaragua : Dispersed in the country / territory",8,14,,31,95,15,,163,9,24,,19,97,9,*,161,324
2014,Nicaragua,"Palacaguina : Municipio",,,,,,,,*,,,,,*,,,*,*
2014,Netherlands,"Netherlands : Dispersed in the country / territory",,,,,,,,*,,,,,,,,*,91385
2014,Norway,"Norway : Dispersed in the country / territory",,,,,,,1892,1892,,,,,,,4598,4598,56220
2014,Nepal,"Beldangi : Point",874,1162,,1019,5284,629,,8968,874,1309,,1106,5477,840,,9606,18574
2014,Nepal,"Kathmandu : District",32,43,,19,144,6,,244,30,56,,32,195,5,,318,562
2014,Nepal,"Kathmandu: District",,,,,*,,,*,,,,*,*,*,,8,10
2014,Nepal,"Nepal : Dispersed in the country / territory",,*,,*,9,*,7500,7515,,*,,,20,*,7500,7522,15191
2014,Nepal,"Sanischare : Point",258,318,,239,1322,158,,2295,252,280,,276,1362,210,,2380,4675
2014,Nauru,Nauru,,,,,,,320,320,,,,,,,802,802,1122
2014,"New Zealand","New Zealand : Dispersed in the country / territory",,,,,,,,*,,,,,,,,*,1619
2014,Oman,"Oman : Dispersed in the country / territory",25,42,,17,109,10,,203,21,33,,18,101,6,,179,382
2014,Pakistan,"Azad Kashmir : Pakistan administered area",131,637,,524,1311,80,,2683,137,691,,537,1661,159,,3185,5868
2014,Pakistan,"Azakhel : Point",455,3016,,1829,4001,144,,9445,622,3258,,2009,4525,332,,10746,20191
2014,Pakistan,"Badaber : Point",558,3085,,2206,5176,241,,11266,563,3248,,2349,5973,519,,12652,23918
2014,Pakistan,"Baghicha : Point",11,69,,35,114,6,,235,14,83,,41,111,13,,262,497
2014,Pakistan,"Baka Khel : Point",17,65,,50,104,8,,244,18,83,,66,155,18,,340,584
2014,Pakistan,"Balochistan : Province",8830,23398,,19537,45210,2850,,99825,9435,24083,,22407,51444,6497,,113866,213691
2014,Pakistan,"Barakai : Point",468,2949,,2555,5844,278,,12094,492,3166,,2734,5710,590,,12692,24786
2014,Pakistan,"Barari : Point",*,10,,*,13,*,,24,*,8,,7,17,*,,34,58
2014,Pakistan,Barary,134,873,,632,1604,89,,3332,136,846,,688,1733,149,,3552,6884
2014,Pakistan,"Barawal : Point",*,*,,*,8,*,,17,*,5,,5,27,*,,40,57
